,participant,block,order,spelling,wnw,resp,accuracy,prev.acc,rt,prev.rt,freq,prev.wnw,fg,wfnw,resp.1,ve
3549,1,8,3749,rookwolk,1,1,1,1,574,625,0.3202,2,2,2,1,0
3550,1,8,3750,kluisje,1,1,1,1,588,574,4.2306,1,5,5,1,0
3551,1,8,3751,strietches,2,2,1,1,731,588,NA,1,NA,7,2,0
3552,1,8,3752,uip,2,2,1,1,548,731,NA,2,NA,7,2,0
3553,1,8,3753,gelost,1,1,1,1,675,548,2.1038,2,4,4,1,0
3554,1,8,3754,sleedjes,2,2,1,1,734,675,NA,1,NA,7,2,0
3555,1,8,3755,zapen,2,2,1,1,822,734,NA,2,NA,7,2,0
3556,1,8,3756,brekker,2,2,1,1,652,822,NA,2,NA,7,2,0
3557,1,8,3757,lunch,1,1,1,1,455,652,42.42,2,6,6,1,0
3558,1,8,3758,zuster,1,1,1,1,427,455,71.5079,1,6,6,1,0
3559,1,8,3759,brak,1,1,1,1,528,427,21.0842,1,6,6,1,1
3560,1,8,3760,let,1,2,0,1,1536,528,107.9136,1,6,6,2,0
3561,1,8,3761,biechtstoel,1,1,1,0,632,1536,0.7775,1,3,3,1,0
3562,1,8,3762,mails,1,1,1,1,629,632,0.9147,1,3,3,1,0
3563,1,8,3763,droompjes,1,1,1,1,1202,629,0.0457,1,1,1,1,0
3564,1,8,3764,kopig,2,2,1,1,663,1202,NA,1,NA,7,2,0
3565,1,8,3765,meukje,2,2,1,1,787,663,NA,2,NA,7,2,0
3566,1,8,3766,duilt,2,2,1,1,553,787,NA,2,NA,7,2,0
3567,1,8,3767,praat,1,1,1,1,472,553,241.828,2,6,6,1,0
3568,1,8,3768,vissers,1,1,1,1,524,472,3.0186,1,4,4,1,0
3569,1,8,3769,nekstje,2,2,1,1,637,524,NA,1,NA,7,2,0
3570,1,8,3770,talsop,2,2,1,1,666,637,NA,2,NA,7,2,0
3571,1,8,3771,bloempje,1,1,1,1,484,666,0.869,2,3,3,1,0
3572,1,8,3772,dangt,2,2,1,1,503,484,NA,1,NA,7,2,0
3573,1,8,3773,oorden,1,1,1,1,697,503,0.8004,2,3,3,1,0
3574,1,8,3774,tel,1,1,1,1,435,697,24.926,1,6,6,1,0
3575,1,8,3775,leuder,2,2,1,1,599,435,NA,1,NA,7,2,0
3576,1,8,3776,klusjes,1,1,1,1,421,599,4.5507,2,5,5,1,0
3577,1,8,3777,kindje,1,1,1,1,507,421,16.968,1,6,6,1,0
3578,1,8,3778,sasbo's,2,2,1,1,603,507,NA,1,NA,7,2,0
3579,1,8,3779,stiefbroers,1,1,1,1,522,603,0.0915,2,1,1,1,0
3580,1,8,3780,spront,2,2,1,1,635,522,NA,1,NA,7,2,0
3581,1,8,3781,tif,2,2,1,1,760,635,NA,2,NA,7,2,0
3582,1,8,3782,katten,1,1,1,1,494,760,15.4587,2,6,6,1,0
3583,1,8,3783,rieven,2,2,1,1,545,494,NA,1,NA,7,2,0
3584,1,8,3784,haamte,2,2,1,1,545,545,NA,2,NA,7,2,1
3585,1,8,3785,puitjes,1,2,0,1,881,545,0,2,1,1,2,0
3586,1,8,3786,mijkt,2,2,1,0,563,881,NA,1,NA,7,2,0
3587,1,8,3787,schrijntje,1,1,1,1,690,563,0,2,1,1,1,0
3588,1,8,3788,rotels,2,2,1,1,556,690,NA,1,NA,7,2,0
3589,1,8,3789,terijt,2,2,1,1,539,556,NA,2,NA,7,2,0
